ID,Raw Reads,Score_Insect,King_Insect,Phy_Insect,Cla_Insect,Ord_Insect,Fam_Insect,Gen_Insect,Spec_Insect,Taxon_Insect,BestID_Eco,SupKing_Eco,King_Eco,Phy_Eco,Cla_Eco,Ord_Eco,Fam_Eco,Gen_Eco,Spec_Eco,Taxon_Eco,PercId_OA_barcodes,Cov_OA_barcodes,PercID_biocode,Cov_biocode,OAtaxon,BioCodePhyla,BioClass,BioOrder,BioFamily,BioGenus,BioSpecies,FinalPhylum,FinalKingdom,PhyKing,Class,Order,Family,Genus,Species,Calcify,TaxaFrequency
OTU_1145,9,0.7575,Metazoa,PORIFERA,Demospongiae,Tethyida,Tethyidae,Tethya,,Tethya,0.917197452,Opisthokonta,Metazoa,PORIFERA,Demospongiae,Tethyida,Tethyidae,Tethya,,Tethya,99.682,100,90.735,100,Tethya,PORIFERA,Demospongiae,Tethyida,Tethyidae,Tethya,,PORIFERA,Metazoa,PORIFERA Metazoa,Demospongiae,Tethyida,Tethyidae,Tethya,,No,2
OTU_1271,8,,Metazoa,PORIFERA,Demospongiae,Haplosclerida,Chalinidae,Haliclona,,Haliclona,0.980830671,Opisthokonta,Metazoa,PORIFERA,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata,Haliclona oculata,97.764,100,94.888,100,Cladocroce,PORIFERA,Demospongiae,Haplosclerida,Chalinidae,Cladocroce,,PORIFERA,Metazoa,PORIFERA Metazoa,Demospongiae,Haplosclerida,Chalinidae,Cladocroce,,No,1
OTU_797,28,0.9992,Metazoa,CNIDARIA,Anthozoa,Actiniaria,,,,Actiniaria,0.882165605,Opisthokonta,Metazoa,CNIDARIA,Anthozoa,Actiniaria,Edwardsiidae,Nematostella,Nematostella sp. JVK-2006,Nematostella sp. JVK-2006,NA,,87.46,99,,CNIDARIA,,,,,,CNIDARIA,Metazoa,CNIDARIA Metazoa,Anthozoa,Actiniaria,,,,No,4
OTU_128,5052,1,Metazoa,,,,,,,Metazoa,,,,,,,,,,,88.673,99,94.888,100,Dysidea,PORIFERA,,,,,,PORIFERA,Metazoa,PORIFERA Metazoa,,,,,,No,6
OTU_2067,3,1,Metazoa,ARTHROPODA,Malacostraca,Amphipoda,,,,Amphipoda,0.876582278,Opisthokonta,Metazoa,ARTHROPODA,Malacostraca,Amphipoda,Hyalidae,Parhyale,,Parhyale,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Malacostraca,Amphipoda,,,,Mild,4
OTU_2115,4,,,,,,,,,root,0.871875,Opisthokonta,Metazoa,ARTHROPODA,Malacostraca,Amphipoda,Hyalidae,Parhyale,,Parhyale,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,,,,,,UNK,6
OTU_2453,8,1,Metazoa,NEMERTEA,Pilidiophora,Heteronemertea,,,,Heteronemertea,0.864779874,Opisthokonta,Metazoa,NEMERTEA,Anopla,Heteronemertea,Lineidae,Lineus,Lineus bilineatus,Lineus bilineatus,NA,,88.35,99,,NEMERTEA,,,,,,NEMERTEA,Metazoa,NEMERTEA Metazoa,Pilidiophora,Heteronemertea,,,,No,4
OTU_2311,3,0.7668,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,0.867924528,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,Navicula,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_102,4781,1,Metazoa,ANNELIDA,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,,Dodecaceria,0.910828025,Opisthokonta,Metazoa,ANNELIDA,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,Dodecaceria sp. AMW23009,Dodecaceria sp. AMW23009,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,,No,2
OTU_2592,4,1,,,,,,,,Eukaryota,0.875796178,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,AO695,AO695,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_648,61,0.7388,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,0.85,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,Navicula,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_711,39,0.7668,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,0.85488959,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,Navicula,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_966,32,0.9777,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,0.852664577,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,,Navicula,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_1024,15,1,Metazoa,ANNELIDA,Polychaeta,Terebellida,Ctenodrilidae,Ctenodrilus,,Ctenodrilus,,,,,,,,,,,NA,,85.623,100,,ANNELIDA,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Terebellida,Ctenodrilidae,Ctenodrilus,,No,2
OTU_288,1345,,,,,,,,,root,0.879365079,Correct_manually,Metazoa,MOLLUSCA,Gastropoda,Caenogastropoda,Potamididae,Cerithidea,,Cerithidea,NA,,86.452,99,,MOLLUSCA,,,,,,MOLLUSCA,Metazoa,MOLLUSCA Metazoa,,,,,,No,6
OTU_545,62,0.9987,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,0.914012739,Chromalveolata,Stramenopiles,BACILLARIOPHYTA,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,,Skeletonema,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,Coscinodiscophyceae,,,,,No,5
OTU_1854,3,1,Chromista,HETEROKONTOPHYTA,Labyrinthulomycetes,,,,,Labyrinthulomycetes,0.859375,Chromalveolata,Stramenopiles,OOMYCOTA,Oomycetes,Saprolegniales,Thraustochytriaceae,Thraustochytrium,Thraustochytrium aureum,Thraustochytrium aureum,NA,,,,,,,,,,,HETEROKONTOPHYTA,MicroAlgae,HETEROKONTOPHYTA MicroAlgae,Labyrinthulomycetes,,,,,No,5
OTU_2009,3,,,,,,,,,root,0.85443038,Opisthokonta,Metazoa,MOLLUSCA,Gastropoda,Littorinimorpha,Vermetidae,Dendropoma,Dendropoma gregarium,Dendropoma gregarium,NA,,,,,,,,,,,MOLLUSCA,Metazoa,MOLLUSCA Metazoa,,,,,,No,6
OTU_507,102,1,Metazoa,,,,,,,Protostomia,0.869426752,Opisthokonta,Metazoa,MOLLUSCA,Gastropoda,Littorinimorpha,Vermetidae,Dendropoma,Dendropoma gregarium,Dendropoma gregarium,NA,,,,,,,,,,,MOLLUSCA,Metazoa,MOLLUSCA Metazoa,,,,,,No,6
OTU_358,193,,Metazoa,MOLLUSCA,Gastropoda,,Cerithiidae,Ittibittium,,Ittibittium,0.888888889,Opisthokonta,Metazoa,MOLLUSCA,Gastropoda,,,,,Gastropoda,NA,,,,,,,,,,,MOLLUSCA,Metazoa,MOLLUSCA Metazoa,Gastropoda,,Cerithiidae,,,No,6
OTU_117,3764,,Metazoa,ANNELIDA,Polychaeta,Terebellida,Cirratulidae,Timarete,,Timarete,0.853968254,Opisthokonta,Metazoa,ANNELIDA,Polychaeta,,,,,Scolecida,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,,,,,,UNK,6
OTU_176,1632,0.7346,Plantae,RHODOPHYTA,Florideophyceae,Corallinales,Corallinaceae,Lithophyllum,,Lithophyllum,0.863924051,Archaeplastida,Plantae,RHODOPHYTA,Florideophyceae,,,,,Florideophyceae,NA,,,,,,,,,,,RHODOPHYTA,Plantae,RHODOPHYTA Plantae,,,,,,UNK,6
OTU_118,3817,0.7019,Metazoa,ANNELIDA,Polychaeta,Eunicida,Dorvilleidae,,,Dorvilleidae,,,,,,,,,,,NA,,89.711,99,,ANNELIDA,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,,,,,,UNK,6
OTU_1033,35,1,Metazoa,ARTHROPODA,Malacostraca,Decapoda,Palaemonidae,,,Palaemonidae,0.856687898,Opisthokonta,Metazoa,ARTHROPODA,Malacostraca,Decapoda,,,,Decapoda,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Malacostraca,Decapoda,Palaemonidae,,,Mild,3
OTU_330,405,,Metazoa,ANNELIDA,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,,Lumbrineris,0.980830671,Opisthokonta,Metazoa,ANNELIDA,Polychaeta,Eunicida,,,,Eunicida,NA,,97.764,100,,ANNELIDA,Polychaeta,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Eunicida,Lumbrineridae,,,No,4
OTU_960,16,,Metazoa,ECHINODERMATA,Ophiuroidea,Ophiurida,Ophiactidae,Ophiactis,,Ophiactis,,,,,,,,,,,96.486,100,99.042,100,BrittleStar,ECHINODERMATA,,,,,,ECHINODERMATA,Metazoa,ECHINODERMATA Metazoa,,,Ophiactidae,,,No,6
OTU_309,242,0.8509,Metazoa,ANNELIDA,Polychaeta,Spionida,Spionidae,,,Spionidae,,,,,,,,,,,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Spionida,Spionidae,,,UNK,6
OTU_747,73,0.8658,Metazoa,ANNELIDA,Polychaeta,Phyllodocida,Syllidae,,,Syllidae,,,,,,,,,,,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Phyllodocida,Syllidae,,,No,6
OTU_931,59,0.8819,Metazoa,ANNELIDA,Polychaeta,Phyllodocida,Syllidae,,,Syllidae,,,,,,,,,,,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Phyllodocida,Syllidae,,,No,6
OTU_10,58202,1,Metazoa,,,,,,,Bilateria,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1001,18,1,,,,,,,,cellular organisms,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1002,19,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1003,25,1,Stramenopiles,,,,,,,Stramenopiles,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,MicroAlgae,Unclassified MicroAlgae,,,,,,No,7
OTU_1004,39,0.9224,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1005,18,0.9999,,,,,,,,Opisthokonta,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Opisthokonta,Unclassified Other_Opisthokonta,,,,,,No,7
OTU_1044,15,1,Metazoa,ANNELIDA,Polychaeta,Phyllodocida,Syllidae,Myrianida,,Myrianida,,,,,,,,,,,NA,,,,,,,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,Phyllodocida,Syllidae,Myrianida,,No,2
OTU_1006,43,0.76,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1007,23,0.905,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1008,11,1,Metazoa,CNIDARIA,Hydrozoa,,,,,Hydroidolina,0.863057325,Opisthokonta,Metazoa,CNIDARIA,Hydrozoa,,,,,Hydroidolina,NA,,85.256,99,,CNIDARIA,,,,,,CNIDARIA,Metazoa,CNIDARIA Metazoa,Hydrozoa,,,,,No,5
OTU_1009,41,1,Metazoa,ARTHROPODA,Hexanauplia,,,,,Podoplea,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,,,,,No,5
OTU_101,6030,0.9999,Metazoa,,,,,,,Bilateria,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1010,28,,,,,,,,,root,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1011,22,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1013,21,1,Metazoa,NEMERTEA,Enopla,Monostilifera,,,,Monostilifera,0.866666667,Opisthokonta,Metazoa,NEMERTEA,,,,,,Nemertea,NA,,85.761,99,,NEMERTEA,,,,,,NEMERTEA,Metazoa,NEMERTEA Metazoa,Enopla,Monostilifera,,,,No,4
OTU_1015,23,1,Stramenopiles,,,,,,,Stramenopiles,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,MicroAlgae,Unclassified MicroAlgae,,,,,,No,7
OTU_1016,26,,,,,,,,,root,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1017,42,1,Chromista,HETEROKONTOPHYTA,Labyrinthulomycetes,,,,,Labyrinthulomycetes,,,,,,,,,,,NA,,,,,,,,,,,HETEROKONTOPHYTA,MicroAlgae,HETEROKONTOPHYTA MicroAlgae,Labyrinthulomycetes,,,,,No,5
OTU_1018,17,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1019,12,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1057,11,1,Plantae,RHODOPHYTA,Florideophyceae,Palmariales,Palmariaceae,,,Palmariaceae,0.926751592,Archaeplastida,Plantae,RHODOPHYTA,Florideophyceae,Corallinales,,,,Corallinales,NA,,88.424,99,,RHODOPHYTA,,,,,,RHODOPHYTA,Plantae,RHODOPHYTA Plantae,Florideophyceae,Palmariales,Palmariaceae,,,No,3
OTU_1020,13,1,Metazoa,,,,,,,Protostomia,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1021,36,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1022,36,1,Metazoa,ARTHROPODA,Hexanauplia,,,,,Podoplea,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,,,,,No,5
OTU_1023,71,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1025,28,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1026,9,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1027,45,,,,,,,,,root,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1028,23,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1029,42,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_103,7682,,,,,,,,,root,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1030,63,1,Metazoa,,,,,,,Bilateria,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1031,29,1,Metazoa,,,,,,,Metazoa,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1032,61,0.9993,Metazoa,,,,,,,Protostomia,,,,,,,,,,,NA,,98.973,93,,ANNELIDA,Polychaeta,,,,,ANNELIDA,Metazoa,ANNELIDA Metazoa,Polychaeta,,,,,No,5
OTU_1034,22,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1035,23,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1036,27,0.9455,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1037,11,0.8308,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1038,38,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1039,13,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_104,12101,,,,,,,,,root,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Unclassified,Unclassified Unclassified,,,,,,No,7
OTU_1040,12,1,Metazoa,,,,,,,Metazoa,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1041,15,0.9995,Metazoa,,,,,,,Lophotrochozoa,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1042,15,1,Stramenopiles,BACILLARIOPHYTA,Bacillariophyceae,,,,,Bacillariophycidae,,,,,,,,,,,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,Bacillariophyceae,,,,,No,5
OTU_1043,19,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1045,19,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1046,14,0.9926,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1047,38,0.9988,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1048,16,0.979,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1049,23,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_105,4354,0.993,Metazoa,ARTHROPODA,Hexanauplia,,,,,Podoplea,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,,,,,No,5
OTU_1050,27,1,Metazoa,ARTHROPODA,Hexanauplia,,,,,Neocopepoda,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,,,,,No,5
OTU_1051,15,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1052,19,0.9933,Metazoa,,,,,,,Metazoa,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1053,22,0.9969,Stramenopiles,BACILLARIOPHYTA,,,,,,Bacillariophyta,,,,,,,,,,,NA,,,,,,,,,,,BACILLARIOPHYTA,MicroAlgae,BACILLARIOPHYTA MicroAlgae,,,,,,No,6
OTU_1054,19,1,Metazoa,ARTHROPODA,Hexanauplia,,,,,Podoplea,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,,,,,No,5
OTU_1055,21,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1056,16,1,Metazoa,ARTHROPODA,Hexanauplia,Harpacticoida,,,,Harpacticoida,,,,,,,,,,,NA,,,,,,,,,,,ARTHROPODA,Metazoa,ARTHROPODA Metazoa,Hexanauplia,Harpacticoida,,,,No,4
OTU_1058,10,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_1059,12,1,,,,,,,,Eukaryota,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Other_Eukaryota,Unclassified Other_Eukaryota,,,,,,No,7
OTU_106,8215,1,Metazoa,,,,,,,Bilateria,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,Metazoa,Unclassified Metazoa,,,,,,No,7
OTU_1060,11,1,Stramenopiles,,,,,,,Stramenopiles,,,,,,,,,,,NA,,,,,,,,,,,Unclassified,MicroAlgae,Unclassified MicroAlgae,,,,,,No,7
